PONDA (APRIL 2017),,,,,,,,,,,
SAMPLING DATE,SO2 µg/m3,NO2 µg/m3,PM10 µg/m3 ,PM2.5 µg/m3 ,O3 µg/m3,Pb µg/m3,CO µg/m3,AQI,AQI REMARKS,FIELD OBSERVATIONS,
66,"04,12,2020",83,42,9,14,0.07,15,BDL,83,Satisfactory,
67,"08,12,2020",82,42,10,14,0.07,14,BDL,82,Satisfactory,
68,"11,12,2020",82,41,9,13,0.07,14,BDL,82,Satisfactory,
69,12/15/2020,80,40,10,14,0.06,14,BDL,80,Satisfactory,
70,12/18/2020,74,34,7,13,0.08,15,BDL,74,Satisfactory,
71,12/22/2020,77,37,9,14,0.07,14,BDL,77,Satisfactory,
72,12/25/2020,76,39,8,13,0.07,14,BDL,76,Satisfactory,
73,12/29/2020,84,41,8,13,0.07,15,BDL,84,Satisfactory,
JANUARY,,,,,,,,,,,
74,"01,01,2021",79,38,7,13,0.07,13,BDL,79,Satisfactory,
75,"05,01,2021",73,34,7,13,0.07,13,BDL,73,Satisfactory,
76,"08,01,2021",61,31,7,13,0.06,13,BDL,61,Satisfactory,
77,"12,01,2021",77,34,8,14,0.06,14,BDL,77,Satisfactory,
78,1/15/2021,70,33,8,14,0.06,14,BDL,70,Satisfactory,
79,1/19/2021,79,40,7,13,0.07,13,BDL,79,Satisfactory,
80,1/22/2021,78,40,8,13,0.08,13,BDL,78,Satisfactory,
81,1/26/2021,77,36,6,12,0.06,14,BDL,77,Satisfactory,
82,1/29/2021,71,35,7,14,0.08,13,BDL,71,Satisfactory,
FEBRUARY,,,,,,,,,,,
83,"02,02,2021",82,42,9,14,0.08,13,BDL,82,Satisfactory,
84,"05,02,2021",82,40,7,13,0.07,13,BDL,82,Satisfactory,
85,"09,02,2021",78,35,8,14,0.08,14,BDL,78,Satisfactory,
86,"12,02,2021",77,33,9,16,0.08,13,BDL,77,Satisfactory,
87,2/16/2021,71,32,9,15,0.07,14,BDL,71,Satisfactory,
88,2/19/2021,79,38,9,15,0.08,14,BDL,79,Satisfactory,
89,2/23/2021,79,40,9,15,0.08,15,BDL,79,Satisfactory,
90,2/26/2021,79,38,10,14,0.08,15,BDL,79,Satisfactory,
MARCH,,,,,,,,,,,
91,"02,03,2021",83,42,9,15,0.09,14,BDL,83,Satisfactory,
92,"05,03,2021",75,38,9,14,0.08,14,BDL,75,Satisfactory,
93,"09,03,2021",81,37,9,15,0.08,14,BDL,81,Satisfactory,
94,"12,03,2021",69,34,9,16,0.08,14,BDL,69,Satisfactory,
95,3/16/2021,82,40,10,16,0.08,14,BDL,82,Satisfactory,
96,3/19/2021,78,39,10,16,0.08,14,BDL,78,Satisfactory,
97,3/23/2021,84,41,11,16,0.08,15,BDL,84,Satisfactory,
98,3/26/2021,79,37,11,16,0.09,15,BDL,79,Satisfactory,
99,3/30/2021,73,32,10,14,0.09,15,BDL,73,Satisfactory,
,,,,,,,,,,,
,,,,,,,,,,,
Duration:- April-2021,,,,,,,,,,,
Sr.No,,Time Weighted Average (TWA),,,,,,,AQI,AIR QLTY,
,,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,,,
,Parameters,Pollutants concentration in µg/m3 (except for *CO which is in mg/m3),,,,,,,,,
,Date,PM10,PM2.5,SO2,NO2,*CO,O3,Pb,,,
1,4/2/2021,82,43,11,15,0.09,15.0,BDL,82,Satisfactory,
2,4/6/2021,85,39,10,14,0.09,15.1,BDL,85,Satisfactory,
3,4/9/2021,69,35,11,14,0.09,15.0,BDL,69,Satisfactory,
4,4/13/2021,83,39,10,14,0.09,14.8,BDL,83,Satisfactory,
5,4/16/2021,82,43,10,14,0.09,15.2,BDL,82,Satisfactory,
6,4/20/2021,80,40,10,14,0.09,15.3,BDL,80,Satisfactory,
7,4/23/2021,70,35,9,14,0.08,14.9,BDL,70,Satisfactory,
8,4/27/2021,85,35,8,13,0.08,14.6,BDL,85,Satisfactory,
9,4/30/2021,71,35,9,13,0.08,14.3,BDL,71,Satisfactory,
,,,,,,,,,,,
Station:  Roof top of Municipal market                                             City: Ponda,,,,,,,,,,,
Duration:- May-2021,,,,,,,,,,,
Sr.No,,Time Weighted Average (TWA),,,,,,,AQI,AIR QLTY,
,,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,,,
,Parameters,Pollutants concentration in µg/m3 (except for *CO which is in mg/m3),,,,,,,,,
,Date,PM10,PM2.5,SO2,NO2,*CO,O3,Pb,,,
1,04-05-21,69,31,9,13,0.09,14.3,BDL,69,Satisfactory,
2,07-05-21,61,25,7,13,0.09,14.3,BDL,61,Satisfactory,
3,11-05-21,69,29,8,13,0.08,13.9,BDL,69,Satisfactory,
4,14-05-21,56,23,7,13,0.08,13.8,BDL,56,Satisfactory,
5,18-05-21,64,25,7,13,0.08,14.2,BDL,64,Satisfactory,
6,21-05-21,62,23,7,13,0.08,13.9,BDL,62,Satisfactory,
7,25-05-21,56,25,7,13,0.08,13.8,BDL,56,Satisfactory,
8,28-05-21,55,23,7,12,0.08,13.6,BDL,55,Satisfactory,
,,,,,,,,,,,
Station:  Roof top of Municipal market                                             City: Ponda,,,,,,,,,,,
Duration:- June-2021,,,,,,,,,,,
Sr.No,,Time Weighted Average (TWA),,,,,,,AQI,AIR QLTY,
,,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,24- Hr,,,
,Parameters,Pollutants concentration in µg/m3 (except for *CO which is in mg/m3),,,,,,,,,
,Date,PM10,PM2.5,SO2,NO2,*CO,O3,Pb,,,
1,01-06-21,50,21,9,13,0.08,14.2,BDL,50,Satisfactory,
2,04-06-21,52,21,8,13,0.08,14.0,BDL,52,Satisfactory,
3,08-06-21,53,22,8,13,0.08,13.8,BDL,53,Satisfactory,
4,11-06-21,51,21,7,12,0.08,13.6,BDL,51,Satisfactory,
5,15-06-21,50,21,7,13,0.07,13.8,BDL,50,Satisfactory,
6,18-06-21,50,23,6,12,0.08,13.8,BDL,50,Satisfactory,
7,22-06-21,51,22,7,12,0.07,13.6,BDL,51,Satisfactory,
8,25-06-21,52,20,7,13,0.07,13.4,BDL,52,Satisfactory,
9,29-06-21,52,21,7,13,0.07,13.3,BDL,52,Satisfactory,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
